chromosome_name	start_position	end_position	gene_biotype	hgnc_symbol	hgnc_id	entrezgene_id	ensembl_gene_id	strand	external_gene_name
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907127	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907128	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907129	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907130	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907131	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907132	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907133	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907134	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907135	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907136	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907137	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907138	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907139	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907140	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907141	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907142	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907143	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907144	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907145	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907146	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907147	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907148	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907149	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907150	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907151	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907152	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907153	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907154	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907155	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907160	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907172	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907183	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907194	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907205	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907216	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907227	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907238	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907248	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907258	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907269	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907280	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907291	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907302	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907313	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907324	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907327	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907328	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907329	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907330	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907331	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907332	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907333	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907334	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907335	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907336	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907337	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907338	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907339	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907340	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907341	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907342	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907343	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907439	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907440	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907450	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907458	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907467	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907475	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907476	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907477	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907478	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907479	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907480	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907481	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907482	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907483	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907484	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907572	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907573	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907574	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907575	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907576	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907577	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907578	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907579	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907580	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907581	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907584	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907585	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907586	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907587	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907588	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907589	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907590	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907591	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907592	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907593	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907594	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907595	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907596	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907597	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907598	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907600	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907611	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907622	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907633	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907644	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907655	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907662	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907673	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907684	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907694	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907705	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907709	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907710	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907711	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907712	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907713	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907714	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907715	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907716	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907717	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907718	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907719	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907720	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907721	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124908237	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124908238	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124908239	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124908240	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124908241	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124908242	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124908243	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124908244	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124908245	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124908246	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124908247	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124908248	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124908249	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124908257	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124908268	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124908278	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124908289	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124908300	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124908310	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124908316	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124908327	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124908336	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124908347	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124908358	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124908368	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124908369	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124908370	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124908371	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124908372	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124908373	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124908374	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124908375	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124908376	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124908377	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124908378	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124908379	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124908380	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124908381	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124908382	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124908383	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124908384	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124908385	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124908386	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124908387	ENSG00000274917	1	RNA5-8SN5
